ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
16341769,2016-02-26 10:47:49,629D - Babaei and Birthday Cake,GNU C++,Accepted,78 ms,3900 KB
16341748,2016-02-26 10:46:14,629D - Babaei and Birthday Cake,GNU C++,Wrong answer on test 1,0 ms,100 KB
16340952,2016-02-26 09:20:04,629B - Far Relative’s Problem,GNU C++,Accepted,31 ms,0 KB
16340728,2016-02-26 08:56:34,629A - Far Relative’s Birthday Cake,GNU C++,Accepted,15 ms,0 KB
16332359,2016-02-25 17:36:42,597C - Subsequences,GNU C++,Accepted,61 ms,11800 KB
16331541,2016-02-25 16:52:56,597A - Divisibility,GNU C++,Accepted,15 ms,0 KB
16331485,2016-02-25 16:50:22,597A - Divisibility,GNU C++,Wrong answer on test 16,31 ms,0 KB
16331465,2016-02-25 16:49:21,597A - Divisibility,GNU C++,Wrong answer on test 2,0 ms,0 KB
16331365,2016-02-25 16:44:08,597A - Divisibility,GNU C++,Wrong answer on test 4,0 ms,0 KB
16331350,2016-02-25 16:43:02,597A - Divisibility,GNU C++,Wrong answer on test 4,15 ms,0 KB
16331156,2016-02-25 16:31:44,630O - Arrow,GNU C++,Accepted,15 ms,0 KB
16330176,2016-02-25 15:36:13,630E - A rectangle,GNU C++,Accepted,15 ms,0 KB
16329942,2016-02-25 15:19:12,630E - A rectangle,GNU C++,Wrong answer on test 23,15 ms,0 KB
16329802,2016-02-25 15:09:55,630E - A rectangle,GNU C++,Wrong answer on test 22,15 ms,0 KB
16329779,2016-02-25 15:08:39,630E - A rectangle,GNU C++,Wrong answer on test 9,15 ms,0 KB
16325192,2016-02-25 14:06:53,630P - Area of a Star,GNU C++,Accepted,15 ms,0 KB
16324400,2016-02-25 13:08:30,630Q - Pyramids,GNU C++,Accepted,15 ms,0 KB
16323063,2016-02-25 11:42:48,630M - Turn,GNU C++,Accepted,15 ms,0 KB
16323040,2016-02-25 11:40:59,630M - Turn,GNU C++,Wrong answer on test 16,15 ms,0 KB
16322521,2016-02-25 11:06:44,630K - Indivisibility,GNU C++,Accepted,15 ms,0 KB
16310982,2016-02-24 17:58:12,476B - Dreamoon and WiFi,GNU C++,Accepted,30 ms,0 KB
16310917,2016-02-24 17:54:00,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 17,15 ms,0 KB
16310901,2016-02-24 17:53:04,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 9,15 ms,0 KB
16310887,2016-02-24 17:51:38,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 11,15 ms,0 KB
16310649,2016-02-24 17:37:38,617D - Polyline,GNU C++,Accepted,15 ms,0 KB
16310338,2016-02-24 17:20:16,617D - Polyline,GNU C++,Wrong answer on test 25,15 ms,0 KB
16310142,2016-02-24 17:10:09,630I - Parking Lot,GNU C++,Accepted,15 ms,0 KB
16309958,2016-02-24 16:58:50,630I - Parking Lot,GNU C++,Wrong answer on test 2,15 ms,0 KB
16309638,2016-02-24 16:37:24,630G - Challenge Pennants,GNU C++,Accepted,15 ms,0 KB
16309330,2016-02-24 16:18:40,630G - Challenge Pennants,GNU C++,Wrong answer on test 3,0 ms,0 KB
16307252,2016-02-24 13:57:21,630H - Benches,GNU C++,Accepted,15 ms,0 KB
16305925,2016-02-24 12:18:55,630H - Benches,GNU C++,Wrong answer on test 3,15 ms,0 KB
16305850,2016-02-24 12:14:09,630H - Benches,GNU C++,Wrong answer on test 2,15 ms,0 KB
16305721,2016-02-24 12:06:02,630L - Cracking the Code,GNU C++,Accepted,15 ms,0 KB
16305668,2016-02-24 12:01:05,630L - Cracking the Code,GNU C++,Wrong answer on test 5,15 ms,0 KB
16305456,2016-02-24 11:44:35,630R - Game,GNU C++,Accepted,15 ms,0 KB
