ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15311
15598449,2016-01-26 20:24:26,459A - Pashmak and Garden,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15596273,2016-01-26 18:22:05,432A - Choosing Teams,GNU C++11,Accepted,15 ms,0 KB
15596236,2016-01-26 18:20:26,432A - Choosing Teams,GNU C++11,Wrong answer on test 7,15 ms,0 KB
15595945,2016-01-26 18:04:09,432A - Choosing Teams,GNU C++11,Wrong answer on test 5,15 ms,0 KB
15595896,2016-01-26 18:01:24,432A - Choosing Teams,GNU C++11,Wrong answer on test 1,15 ms,0 KB
15595864,2016-01-26 17:59:44,432A - Choosing Teams,GNU C++11,Compilation error,0 ms,0 KB
15595806,2016-01-26 17:57:02,432A - Choosing Teams,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15595711,2016-01-26 17:52:58,432A - Choosing Teams,GNU C++11,Wrong answer on test 5,15 ms,0 KB
15595684,2016-01-26 17:51:41,432A - Choosing Teams,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15595494,2016-01-26 17:42:45,432A - Choosing Teams,GNU C++11,Wrong answer on test 5,15 ms,0 KB
15568598,2016-01-25 10:15:00,617A - Elephant,GNU C++11,Accepted,15 ms,0 KB
15541943,2016-01-23 23:16:15,479A - Expression,GNU C++11,Accepted,15 ms,0 KB
15541901,2016-01-23 23:14:07,479A - Expression,GNU C++11,Wrong answer on test 19,15 ms,0 KB
15541871,2016-01-23 23:12:08,479A - Expression,GNU C++11,Wrong answer on test 2,0 ms,0 KB
15541757,2016-01-23 23:05:16,4A - Watermelon,GNU C++11,Accepted,30 ms,0 KB
15541719,2016-01-23 23:03:02,4A - Watermelon,GNU C++11,Wrong answer on test 5,30 ms,0 KB
15541497,2016-01-23 22:51:26,4A - Watermelon,GNU C++11,Wrong answer on test 8,30 ms,0 KB
15541358,2016-01-23 22:43:38,4A - Watermelon,GNU C++11,Wrong answer on test 5,30 ms,0 KB
15541052,2016-01-23 22:28:01,479A - Expression,GNU C++11,Wrong answer on test 3,15 ms,0 KB
