ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15163
19280142,2016-07-20 15:27:46,691C - Exponential notation,GNU C++11,Wrong answer on test 5,15 ms,1000 KB
19277292,2016-07-20 13:00:18,681E - Runaway to a Shadow,GNU C++11,Accepted,218 ms,7800 KB
19266592,2016-07-20 05:14:48,699B - One Bomb,GNU C++11,Accepted,202 ms,1000 KB
19266549,2016-07-20 05:12:12,699B - One Bomb,GNU C++11,Wrong answer on test 20,156 ms,1000 KB
19266486,2016-07-20 05:08:53,699C - Vacations,GNU C++11,Accepted,31 ms,0 KB
19266132,2016-07-20 04:47:05,699A - Launch of Collider,GNU C++11,Accepted,93 ms,1000 KB
19266069,2016-07-20 04:43:44,699D - Fix a Tree,GNU C++11,Accepted,124 ms,7800 KB
19255855,2016-07-19 18:17:06,699D - Fix a Tree,GNU C++11,Wrong answer on pretest 10,93 ms,1600 KB
19254650,2016-07-19 18:09:47,699D - Fix a Tree,GNU C++11,Wrong answer on pretest 5,15 ms,1600 KB
19243520,2016-07-19 16:56:53,699C - Vacations,GNU C++11,Time limit exceeded on test 88,1000 ms,0 KB
19239182,2016-07-19 16:36:01,699B - One Bomb,GNU C++11,Wrong answer on test 20,156 ms,1000 KB
19235517,2016-07-19 16:21:27,699A - Launch of Collider,GNU C++11,Wrong answer on test 8,62 ms,1000 KB
14072091,2015-11-04 21:09:20,593B - Anton and Lines,GNU C++11,Time limit exceeded on pretest 16,1000 ms,700 KB
14070495,2015-11-04 20:48:52,593B - Anton and Lines,GNU C++11,Time limit exceeded on pretest 16,1000 ms,1700 KB
