ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3369
385997,2011-04-13 20:55:20,75D - Big Maximum Sum,GNU C++,Wrong answer on pretest 7,10 ms,1400 KB
385941,2011-04-13 20:53:26,75D - Big Maximum Sum,GNU C++,Wrong answer on pretest 7,10 ms,1400 KB
385926,2011-04-13 20:53:01,75D - Big Maximum Sum,GNU C++,Compilation error,0 ms,0 KB
385867,2011-04-13 20:51:01,75D - Big Maximum Sum,GNU C++,Wrong answer on pretest 7,30 ms,1400 KB
385821,2011-04-13 20:49:05,75D - Big Maximum Sum,GNU C++,Wrong answer on pretest 7,10 ms,1400 KB
384866,2011-04-13 20:08:54,75C - Modified GCD,GNU C++,Accepted,110 ms,1400 KB
384400,2011-04-13 19:50:37,75B - Facetook Priority Wall,GNU C++,Accepted,30 ms,1400 KB
384353,2011-04-13 19:48:48,75B - Facetook Priority Wall,GNU C++,Wrong answer on pretest 5,30 ms,1400 KB
384233,2011-04-13 19:44:17,75B - Facetook Priority Wall,GNU C++,Wrong answer on pretest 5,10 ms,1400 KB
384160,2011-04-13 19:41:51,75B - Facetook Priority Wall,GNU C++,Wrong answer on pretest 5,30 ms,1400 KB
384003,2011-04-13 19:36:48,75B - Facetook Priority Wall,GNU C++,Wrong answer on pretest 3,10 ms,1400 KB
383974,2011-04-13 19:35:51,75B - Facetook Priority Wall,GNU C++,Wrong answer on pretest 3,10 ms,1400 KB
383102,2011-04-13 19:08:02,75A - Life Without Zeros,GNU C++,Accepted,30 ms,1400 KB
383066,2011-04-13 19:07:07,75A - Life Without Zeros,GNU C++,Compilation error,0 ms,0 KB
383030,2011-04-13 19:06:31,75A - Life Without Zeros,GNU C++,Compilation error,0 ms,0 KB
380945,2011-04-12 19:37:47,76D - Plus and xor,GNU C++,Accepted,30 ms,1400 KB
380941,2011-04-12 19:37:01,76D - Plus and xor,GNU C++,Wrong answer on test 1,10 ms,1400 KB
380937,2011-04-12 19:36:28,76D - Plus and xor,GNU C++,Wrong answer on test 1,10 ms,1400 KB
380927,2011-04-12 19:34:38,76E - Points,GNU C++,Accepted,420 ms,1400 KB
380914,2011-04-12 19:33:06,76E - Points,GNU C++,Wrong answer on test 1,10 ms,1400 KB
380907,2011-04-12 19:32:31,76E - Points,GNU C++,Compilation error,0 ms,0 KB
380900,2011-04-12 19:32:17,76E - Points,GNU C++,Wrong answer on test 5,10 ms,1300 KB
380876,2011-04-12 19:28:29,76E - Points,GNU C++,Wrong answer on test 5,10 ms,1300 KB
380853,2011-04-12 19:24:52,76E - Points,GNU C++,Wrong answer on test 5,10 ms,1300 KB
380825,2011-04-12 19:21:36,76E - Points,GNU C++,Wrong answer on test 2,30 ms,1300 KB
380810,2011-04-12 19:19:43,76E - Points,GNU C++,Wrong answer on test 2,10 ms,1300 KB
376352,2011-04-10 15:33:43,73B - Need For Brake,GNU C++,Wrong answer on test 6,30 ms,1400 KB
376286,2011-04-10 15:23:23,73C - LionAge II,GNU C++,Wrong answer on test 11,30 ms,1400 KB
374950,2011-04-10 13:31:35,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,30 ms,1400 KB
374867,2011-04-10 13:27:31,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,10 ms,1400 KB
374724,2011-04-10 13:20:26,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,30 ms,1400 KB
374569,2011-04-10 13:12:53,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,10 ms,1400 KB
374553,2011-04-10 13:11:34,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,10 ms,1400 KB
374480,2011-04-10 13:08:45,73B - Need For Brake,GNU C++,Wrong answer on pretest 4,10 ms,1400 KB
373547,2011-04-10 12:33:46,73A - The Elder Trolls IV: Oblivon,GNU C++,Accepted,30 ms,1400 KB
373505,2011-04-10 12:32:13,73A - The Elder Trolls IV: Oblivon,GNU C++,Wrong answer on pretest 6,10 ms,1400 KB
373093,2011-04-10 12:17:53,73A - The Elder Trolls IV: Oblivon,GNU C++,Wrong answer on pretest 2,10 ms,1400 KB
372672,2011-04-10 11:02:53,71A - Way Too Long Words,GNU C++,Accepted,30 ms,1400 KB
372670,2011-04-10 11:00:48,71A - Way Too Long Words,GNU C++,Compilation error,0 ms,0 KB
365772,2011-03-29 21:59:01,71C - Round Table Knights,GNU C++,Wrong answer on test 16,30 ms,2200 KB
365741,2011-03-29 21:57:29,71C - Round Table Knights,GNU C++,Accepted,140 ms,2600 KB
364732,2011-03-29 20:23:09,71C - Round Table Knights,GNU C++,Wrong answer on test 16,30 ms,2200 KB
363838,2011-03-29 19:48:30,71C - Round Table Knights,GNU C++,Skipped,30 ms,1700 KB
362895,2011-03-29 19:20:41,71B - Progress Bar,GNU C++,Accepted,30 ms,1300 KB
362027,2011-03-29 19:04:36,71A - Way Too Long Words,GNU C++,Accepted,30 ms,1300 KB
359422,2011-03-26 22:45:24,70A - Cookies,GNU C++,Accepted,30 ms,1300 KB
359417,2011-03-26 22:43:48,70A - Cookies,GNU C++,Wrong answer on test 10,10 ms,1300 KB
359408,2011-03-26 22:41:08,70A - Cookies,GNU C++,Wrong answer on test 2,10 ms,1300 KB
359405,2011-03-26 22:39:08,70A - Cookies,GNU C++,Wrong answer on test 2,10 ms,1300 KB
359404,2011-03-26 22:38:45,70A - Cookies,GNU C++,Compilation error,0 ms,0 KB
359399,2011-03-26 22:37:32,70A - Cookies,GNU C++,Compilation error,0 ms,0 KB
242313,2011-01-08 19:44:52,53A - Autocomplete,GNU C++,Accepted,30 ms,1300 KB
242311,2011-01-08 19:41:40,53A - Autocomplete,GNU C++,Compilation error,0 ms,0 KB
242305,2011-01-08 19:38:07,53A - Autocomplete,GNU C++,Compilation error,0 ms,0 KB
241792,2011-01-08 05:22:36,1A - Theatre Square,GNU C++,Wrong answer on test 16,30 ms,1300 KB
241791,2011-01-08 05:17:47,1A - Theatre Square,GNU C++,Wrong answer on test 16,30 ms,1300 KB
241790,2011-01-08 05:16:02,1A - Theatre Square,GNU C++,Wrong answer on test 1,10 ms,1300 KB
241787,2011-01-08 05:10:01,1A - Theatre Square,GNU C++,Wrong answer on test 1,10 ms,1300 KB
241786,2011-01-08 05:07:39,1A - Theatre Square,GNU C++,Wrong answer on test 16,10 ms,1300 KB
241785,2011-01-08 05:06:01,1A - Theatre Square,GNU C++,Wrong answer on test 16,30 ms,1300 KB
