Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved
650E,Clockwork Bomb,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Trees,data structures|dfs and similar|dsu|trees,166
650D,Zip-line,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,406
650C,Table Compression,Dfs and similar|Dynamic programming|Disjoint set union|Graphs|Greedy algorithms,dfs and similar|dp|dsu|graphs|greedy,1015
650B,Image Preview,Binary search|Dynamic programming|Two pointers,binary search|dp|two pointers,1938
650A,Watchmen,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc,data structures|math,4805
645G,Armistice Area Apportionment,Binary search|Geometry computational geometry,binary search|geometry,36
645F,Cowslip Collections,Combinatorics|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,combinatorics|math|number theory,260
645E,Intellectual Inquiry,Dynamic programming|Greedy algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|greedy|strings,694
645D,Robot Rapping Results Report,Binary search|Dynamic programming|Graphs,binary search|dp|graphs,1242
645C,Enduring Exodus,Binary search|Two pointers,binary search|two pointers,1637
645B,Mischievous Mess Makers,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,2087
645A,Amity Assessment,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,2142
644C,Hostname Aliases,Binary search|Heaps binary search trees segment trees hash tables etc|Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,binary search|data structures|sortings|strings,744
644B,Processing Queries,Heaps binary search trees segment trees hash tables etc|Two pointers,data structures|two pointers,1754
644A,Parliament of Berland,Constructive algorithms,constructive algorithms,3368
643G,Choosing Ads,,,25
643F,Bears and Juice,Mathematics including integration differential equations etc,math,71
643E,Bear and Destroying Subtrees,Dynamic programming|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc|Trees,dp|math|probabilities|trees,195
643D,Bearish Fanpages,,,73
643C,Levels and Regions,Dynamic programming,dp,456
643B,Bear and Two Paths,Constructive algorithms,constructive algorithms,2031
643A,Bear and Colors,Implementation problems programming technics simulation,implementation,2664
641G,Little Artem and Graph,,,26
641F,Little Artem and 2-SAT,,,61
641E,Little Artem and Time Machine,Heaps binary search trees segment trees hash tables etc,data structures,1155
641D,Little Artem and Random Variable,Dynamic programming|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,dp|implementation|math|probabilities,525
641C,Little Artem and Dance,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1844
641B,Little Artem and Matrix,Implementation problems programming technics simulation,implementation,2872
641A,Little Artem and Grasshopper,Implementation problems programming technics simulation,implementation,3786
639F,Bear and Chemistry,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Graphs|Trees,data structures|dfs and similar|graphs|trees,46
639E,Bear and Paradox,Greedy algorithms|Mathematics including integration differential equations etc|Sortings orderings,greedy|math|sortings,141
639D,Bear and Contribution,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,data structures|greedy|sortings,481
639C,Bear and Polynomials,Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,hashing|implementation|math,854
639B,Bear and Forgotten Tree 3,Constructive algorithms|Graphs|Trees,constructive algorithms|graphs|trees,3281
639A,Bear and Displayed Friends,Implementation problems programming technics simulation,implementation,4102
638D,Three-dimensional Turtle Super Computer,Brute force|Dfs and similar|Graphs,brute force|dfs and similar|graphs,526
638C,Road Improvement,Dfs and similar|Greedy algorithms|Trees,dfs and similar|greedy|trees,648
638B,Making Genome in Berland,Dfs and similar|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dfs and similar|strings,1184
638A,Home Numbers,Constructive algorithms,constructive algorithms,2421
637D,Running with Obstacles,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Greedy algorithms,data structures|dp|greedy,1425
637C,Promocodes with Mistakes,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1981
637B,Chat Order,Binary search|Heaps binary search trees segment trees hash tables etc|Sortings orderings,binary search|data structures|sortings,3093
637A,Voting for Photos,Implementation problems programming technics simulation,implementation,3222
635A,Orchestra,Brute force|Implementation problems programming technics simulation,brute force|implementation,1863
634A,Island Puzzle,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,1944
633H,Fibonacci-ish II,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,125
633G,Yash And Trees,Bitmasks|Heaps binary search trees segment trees hash tables etc|Dfs and similar,bitmasks|data structures|dfs and similar,250
633F,The Chocolate Spree,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,284
633E,Startup Funding,Binary search|Heaps binary search trees segment trees hash tables etc|Probabilities expected values statistics random variables etc|Two pointers,binary search|data structures|probabilities|two pointers,359
633D,Fibonacci-ish,Brute force|Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,brute force|hashing|implementation|math,1195
633C,Spy Syndrome 2,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Hashing hashtables|Implementation problems programming technics simulation|Sortings orderings|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|dp|hashing|implementation|sortings|string suffix structures|strings,1143
633B,A Trivial Problem,Brute force|Constructive algorithms|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|constructive algorithms|math|number theory,3358
633A,Ebony and Ivory,Brute force|Mathematics including integration differential equations etc,brute force|math,4476
632F,Magic Matrix,Brute force|Divide and Conquer|Graphs|Trees,brute force|divide and conquer|graphs|trees,201
632E,Thief in a Shop,Divide and Conquer|Dynamic programming|Fast Fourier transform,divide and conquer|dp|fft,319
632D,Longest Subsequence,Brute force|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|math|number theory,832
632C,The Smallest String Concatenation,Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,sortings|strings,1757
632B,Alice Bob Two Teams,Brute force|Constructive algorithms,brute force|constructive algorithms,1743
632A,Grandma Laura and Apples,,,2150
