ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8607
18471233,2016-06-14 20:53:32,681C - Heap Operations,GNU C++,Wrong answer on pretest 5,15 ms,2200 KB
18470175,2016-06-14 20:45:39,681C - Heap Operations,GNU C++,Wrong answer on pretest 5,15 ms,2200 KB
18469822,2016-06-14 20:43:16,681C - Heap Operations,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
18469364,2016-06-14 20:40:26,681C - Heap Operations,GNU C++,Runtime error on pretest 4,15 ms,2000 KB
18468659,2016-06-14 20:35:59,681C - Heap Operations,GNU C++,Runtime error on pretest 4,15 ms,2000 KB
18467985,2016-06-14 20:31:28,681C - Heap Operations,GNU C++,Runtime error on pretest 4,15 ms,2000 KB
18459399,2016-06-14 19:46:53,681A - A Good Contest,GNU C++,Accepted,15 ms,2200 KB
18337365,2016-06-09 10:51:09,680C - Bear and Prime 100,GNU C++,Accepted,15 ms,2200 KB
18337154,2016-06-09 10:35:02,680C - Bear and Prime 100,GNU C++,Wrong answer on test 3,15 ms,2200 KB
18209112,2016-06-02 06:38:38,677B - Vanya and Food Processor,GNU C++,Accepted,78 ms,3000 KB
18209085,2016-06-02 06:36:06,677B - Vanya and Food Processor,GNU C++,Compilation error,0 ms,0 KB
18209060,2016-06-02 06:34:19,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 14,62 ms,2400 KB
18201335,2016-06-01 21:18:54,677C - Vanya and Label,GNU C++,Accepted,31 ms,2800 KB
18199489,2016-06-01 21:02:25,677C - Vanya and Label,GNU C++,Runtime error on pretest 5,15 ms,2100 KB
18199176,2016-06-01 20:59:38,677C - Vanya and Label,GNU C++,Runtime error on pretest 5,15 ms,2000 KB
18198808,2016-06-01 20:56:34,677C - Vanya and Label,GNU C++,Runtime error on pretest 5,15 ms,2000 KB
18192444,2016-06-01 20:07:23,677B - Vanya and Food Processor,GNU C++,Hacked,46 ms,2400 KB
18191298,2016-06-01 20:00:46,677B - Vanya and Food Processor,GNU C++,Time limit exceeded on pretest 8,1000 ms,2200 KB
18189496,2016-06-01 19:50:09,677B - Vanya and Food Processor,GNU C++,Time limit exceeded on pretest 8,1000 ms,2000 KB
18186455,2016-06-01 19:38:50,677A - Vanya and Fence,GNU C++,Accepted,15 ms,2100 KB
18100992,2016-05-26 11:57:17,676B - Pyramid of Glasses,GNU C++,Wrong answer on test 4,15 ms,2000 KB
18100957,2016-05-26 11:54:44,676B - Pyramid of Glasses,GNU C++,Wrong answer on test 1,0 ms,2100 KB
18100942,2016-05-26 11:53:25,676B - Pyramid of Glasses,GNU C++,Time limit exceeded on test 1,1000 ms,2000 KB
18100861,2016-05-26 11:45:29,676B - Pyramid of Glasses,GNU C++,Wrong answer on test 4,15 ms,2000 KB
18100510,2016-05-26 11:20:33,676A - Nicholas and Permutation,GNU C++,Accepted,15 ms,2200 KB
17962154,2016-05-17 10:27:10,675C - Money Transfers,GNU C++,Accepted,93 ms,6600 KB
17951507,2016-05-16 21:09:45,675D - Tree Construction,GNU C++,Time limit exceeded on pretest 6,2000 ms,4700 KB
17941163,2016-05-16 19:58:55,675B - Restoring Painting,GNU C++,Accepted,15 ms,2200 KB
17939691,2016-05-16 19:53:05,675B - Restoring Painting,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17935003,2016-05-16 19:39:53,675A - Infinite Sequence,GNU C++,Accepted,31 ms,2200 KB
17919081,2016-05-15 14:38:03,476B - Dreamoon and WiFi,GNU C++,Accepted,31 ms,2200 KB
17919050,2016-05-15 14:34:13,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17919010,2016-05-15 14:30:12,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 5,15 ms,2200 KB
17880466,2016-05-12 21:47:23,664B - Rebus,GNU C++,Accepted,15 ms,2200 KB
17880370,2016-05-12 21:40:10,664B - Rebus,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17880339,2016-05-12 21:37:06,664B - Rebus,GNU C++,Wrong answer on test 4,15 ms,2000 KB
