ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1412
9663332,2015-02-01 11:50:30,471C - MUH and House of Cards,GNU C++0x,Accepted,31 ms,0 KB
9663123,2015-02-01 11:30:28,471B - MUH and Important Things,GNU C++0x,Accepted,15 ms,0 KB
9662977,2015-02-01 11:16:04,471A - MUH and Sticks,GNU C++0x,Accepted,15 ms,0 KB
9662913,2015-02-01 11:09:15,471A - MUH and Sticks,GNU C++0x,Wrong answer on test 4,15 ms,0 KB
8809368,2014-11-23 10:11:47,488C - Fight the Monster,GNU C++,Accepted,15 ms,0 KB
8790156,2014-11-21 22:18:06,488C - Fight the Monster,GNU C++,Hacked,61 ms,0 KB
8789689,2014-11-21 22:14:34,488C - Fight the Monster,GNU C++,Wrong answer on pretest 7,217 ms,0 KB
8786467,2014-11-21 21:45:35,488B - Candy Boxes,GNU C++,Accepted,31 ms,0 KB
8778103,2014-11-21 20:30:38,488A - Giga Tower,GNU C++,Accepted,46 ms,0 KB
8767410,2014-11-20 20:38:15,489F - Special Matrices,GNU C++,Accepted,31 ms,2400 KB
8767396,2014-11-20 20:36:35,489F - Special Matrices,GNU C++,Wrong answer on test 21,31 ms,2400 KB
8766698,2014-11-20 19:25:31,489F - Special Matrices,GNU C++,Wrong answer on test 3,15 ms,2400 KB
8762469,2014-11-20 12:32:13,489D - Unbearable Controversy of Being,GNU C++,Accepted,77 ms,44700 KB
8762442,2014-11-20 12:29:05,489D - Unbearable Controversy of Being,GNU C++,Compilation error,0 ms,0 KB
8732628,2014-11-17 20:11:50,489C - Given Length and Sum of Digits...,GNU C++,Accepted,31 ms,0 KB
8729346,2014-11-17 19:41:33,489A - SwapSort,GNU C++,Accepted,31 ms,0 KB
8720428,2014-11-17 18:46:26,489B - BerSU Ball,GNU C++,Accepted,31 ms,0 KB
8656382,2014-11-11 18:51:59,486C - Palindrome Transformation,GNU C++,Accepted,31 ms,600 KB
8653840,2014-11-11 18:25:41,486B - OR in Matrix,GNU C++,Wrong answer on test 31,30 ms,100 KB
8650294,2014-11-11 18:03:59,486A - Calculating Function,GNU C++,Accepted,15 ms,0 KB
8450681,2014-10-28 16:20:19,167B - Wizards and Huge Prize,GNU C++,Memory limit exceeded on test 1,0 ms,262100 KB
8377951,2014-10-24 17:34:16,167B - Wizards and Huge Prize,GNU C++,Wrong answer on test 3,30 ms,0 KB
7642807,2014-08-30 15:16:21,463C - Gargari and Bishops,GNU C++,Accepted,608 ms,227900 KB
7642770,2014-08-30 15:14:49,463C - Gargari and Bishops,GNU C++,Accepted,841 ms,228500 KB
7642751,2014-08-30 15:13:56,463C - Gargari and Bishops,GNU C++,Time limit exceeded on test 21,3000 ms,227900 KB
7642733,2014-08-30 15:12:56,463C - Gargari and Bishops,GNU C++,Accepted,264 ms,227900 KB
7642265,2014-08-30 14:53:05,463C - Gargari and Bishops,GNU C++,Time limit exceeded on test 7,3000 ms,227900 KB
7642148,2014-08-30 14:48:14,463C - Gargari and Bishops,GNU C++,Time limit exceeded on test 7,3000 ms,227900 KB
7642011,2014-08-30 14:41:44,463C - Gargari and Bishops,GNU C++,Time limit exceeded on test 7,3000 ms,247200 KB
7641440,2014-08-30 14:21:26,463C - Gargari and Bishops,GNU C++,Wrong answer on test 4,15 ms,247200 KB
7640724,2014-08-30 14:06:02,463C - Gargari and Bishops,GNU C++,Wrong answer on test 3,15 ms,247200 KB
7640656,2014-08-30 14:04:58,463C - Gargari and Bishops,GNU C++,Wrong answer on test 2,30 ms,247200 KB
7640619,2014-08-30 14:04:17,463C - Gargari and Bishops,GNU C++,Memory limit exceeded on test 1,0 ms,262100 KB
7640527,2014-08-30 14:02:45,463C - Gargari and Bishops,GNU C++,Memory limit exceeded on test 1,15 ms,262100 KB
7637900,2014-08-30 13:02:11,463A - Caisa and Sugar,GNU C++,Accepted,15 ms,0 KB
7637251,2014-08-30 12:53:36,463A - Caisa and Sugar,GNU C++,Skipped,15 ms,0 KB
7637231,2014-08-30 12:53:18,463C - Gargari and Bishops,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
7636809,2014-08-30 12:48:13,463A - Caisa and Sugar,GNU C++,Skipped,15 ms,0 KB
7628971,2014-08-30 11:45:50,463A - Caisa and Sugar,GNU C++,Skipped,15 ms,0 KB
7628594,2014-08-30 11:44:11,463B - Caisa and Pylons,GNU C++,Accepted,62 ms,900 KB
7628246,2014-08-30 11:42:34,463B - Caisa and Pylons,GNU C++,Wrong answer on pretest 6,15 ms,900 KB
7588688,2014-08-26 18:47:28,462C - Appleman and Toastman,GNU C++,Accepted,218 ms,4400 KB
7584373,2014-08-26 18:21:11,462B - Appleman and Card Game,GNU C++,Accepted,15 ms,4900 KB
7583391,2014-08-26 18:16:05,462A - Appleman and Easy Task,GNU C++,Accepted,30 ms,0 KB
7530260,2014-08-20 20:59:46,460B - Little Dima and Equation,GNU C++,Accepted,15 ms,87000 KB
7529903,2014-08-20 20:56:01,460B - Little Dima and Equation,GNU C++,Wrong answer on pretest 4,15 ms,87000 KB
7521580,2014-08-20 19:51:23,460A - Vasya and Socks,GNU C++,Accepted,31 ms,0 KB
